metric,domain,a,b,n,mean_a,mean_b,delta,dz,wins,p_raw,p_fdr,p_bonf,sig_fdr_5pct
QWK_CV30,weapon,Raw-Facts,GPT-Free,11,0.6625,0.6634,-0.0009,-0.012,5,0.48291,0.993164,1.0,False
QWK_CV30,weapon,Raw-Facts,GPT-Law,11,0.6625,0.6587,0.0038,0.036,6,0.318848,0.993164,1.0,False
Spearman,drugs,Manual,Hybrid-Manual,11,0.7936,0.7731,0.0205,0.866,10,0.000977,0.001172,0.005862,True
Spearman,drugs,Manual,Hybrid-Full,11,0.7936,0.7633,0.0303,2.569,11,0.000488,0.000732,0.002928,True
Spearman,drugs,Manual,GPT-Schema,11,0.7936,0.7755,0.0181,0.98,9,0.006836,0.006836,0.041016,True
Spearman,drugs,Manual,GPT-Free,11,0.7936,0.7361,0.0575,3.834,11,0.000488,0.000732,0.002928,True
Spearman,drugs,Manual,GPT-Law,11,0.7936,0.7061,0.0875,4.948,11,0.000488,0.000732,0.002928,True
Spearman,drugs,Manual,Raw-Facts,11,0.7936,0.7293,0.0643,3.653,11,0.000488,0.000732,0.002928,True
Spearman,drugs,Hybrid-Manual,Manual,11,0.7731,0.7936,-0.0205,-0.866,1,0.999512,0.999512,1.0,False
Spearman,drugs,Hybrid-Manual,Hybrid-Full,11,0.7731,0.7633,0.0098,0.387,8,0.160156,0.240234,0.960936,False
Spearman,drugs,Hybrid-Manual,GPT-Schema,11,0.7731,0.7755,-0.0024,-0.096,5,0.681152,0.817382,1.0,False
Spearman,drugs,Hybrid-Manual,GPT-Free,11,0.7731,0.7361,0.037,1.911,11,0.000488,0.000976,0.002928,True
Spearman,drugs,Hybrid-Manual,GPT-Law,11,0.7731,0.7061,0.067,2.497,11,0.000488,0.000976,0.002928,True
Spearman,drugs,Hybrid-Manual,Raw-Facts,11,0.7731,0.7293,0.0438,2.772,11,0.000488,0.000976,0.002928,True
Spearman,drugs,Hybrid-Full,Manual,11,0.7633,0.7936,-0.0303,-2.569,0,1.0,1.0,1.0,False
Spearman,drugs,Hybrid-Full,Hybrid-Manual,11,0.7633,0.7731,-0.0098,-0.387,3,0.86084,1.0,1.0,False
Spearman,drugs,Hybrid-Full,GPT-Schema,11,0.7633,0.7755,-0.0122,-0.732,3,0.978027,1.0,1.0,False
Spearman,drugs,Hybrid-Full,GPT-Free,11,0.7633,0.7361,0.0272,1.426,9,0.002441,0.004882,0.014646,True
Spearman,drugs,Hybrid-Full,GPT-Law,11,0.7633,0.7061,0.0572,3.684,11,0.000488,0.001464,0.002928,True
Spearman,drugs,Hybrid-Full,Raw-Facts,11,0.7633,0.7293,0.034,1.79,11,0.000488,0.001464,0.002928,True
Spearman,drugs,GPT-Schema,Manual,11,0.7755,0.7936,-0.0181,-0.98,2,0.995117,0.995117,1.0,False
Spearman,drugs,GPT-Schema,Hybrid-Manual,11,0.7755,0.7731,0.0024,0.096,6,0.350098,0.420118,1.0,False
Spearman,drugs,GPT-Schema,Hybrid-Full,11,0.7755,0.7633,0.0122,0.732,8,0.025879,0.038818,0.155274,True
Spearman,drugs,GPT-Schema,GPT-Free,11,0.7755,0.7361,0.0394,1.792,10,0.000977,0.001954,0.005862,True
Spearman,drugs,GPT-Schema,GPT-Law,11,0.7755,0.7061,0.0694,4.526,11,0.000488,0.001464,0.002928,True
